,num_primo
0,3
1,7
2,11
3,19
4,23
5,31
6,43
7,47
8,59
9,67
10,71
11,79
12,83
13,103
14,107
15,127
16,131
17,139
18,151
19,163
20,167
21,179
22,191
23,199
24,211
25,223
26,227
27,239
28,251
29,263
30,271
31,283
32,307
33,311
34,331
35,347
36,359
37,367
38,379
39,383
40,419
41,431
42,439
43,443
44,463
45,467
46,479
47,487
48,491
49,499
50,503
51,523
52,547
53,563
54,571
55,587
56,599
57,607
58,619
59,631
60,643
61,647
62,659
63,683
64,691
65,719
66,727
67,739
68,743
69,751
70,787
71,811
72,823
73,827
74,839
75,859
76,863
77,883
78,887
79,907
80,911
81,919
82,947
83,967
84,971
85,983
86,991
87,1019
88,1031
89,1039
90,1051
91,1063
92,1087
93,1091
94,1103
95,1123
96,1151
97,1163
98,1171
99,1187
100,1223
101,1231
102,1259
103,1279
104,1283
105,1291
106,1303
107,1307
108,1319
109,1327
110,1367
111,1399
112,1423
113,1427
114,1439
115,1447
116,1451
117,1459
118,1471
119,1483
120,1487
121,1499
122,1511
123,1523
124,1531
125,1543
126,1559
127,1567
128,1571
129,1579
130,1583
131,1607
132,1619
133,1627
134,1663
135,1667
136,1699
137,1723
138,1747
139,1759
140,1783
141,1787
142,1811
143,1823
144,1831
145,1847
146,1867
147,1871
148,1879
149,1907
150,1931
151,1951
152,1979
153,1987
154,1999
155,2003
156,2011
157,2027
158,2039
159,2063
160,2083
161,2087
162,2099
163,2111
164,2131
165,2143
166,2179
167,2203
168,2207
169,2239
170,2243
171,2251
172,2267
173,2287
174,2311
175,2339
176,2347
177,2351
178,2371
179,2383
180,2399
181,2411
182,2423
183,2447
184,2459
185,2467
186,2503
187,2531
188,2539
189,2543
190,2551
191,2579
192,2591
193,2647
194,2659
195,2663
196,2671
197,2683
198,2687
199,2699
200,2707
201,2711
202,2719
203,2731
204,2767
205,2791
206,2803
207,2819
208,2843
209,2851
210,2879
211,2887
212,2903
213,2927
214,2939
215,2963
216,2971
217,2999
218,3011
219,3019
220,3023
221,3067
222,3079
223,3083
224,3119
225,3163
226,3167
227,3187
228,3191
229,3203
230,3251
231,3259
232,3271
233,3299
234,3307
235,3319
236,3323
237,3331
238,3343
239,3347
240,3359
241,3371
242,3391
243,3407
244,3463
245,3467
246,3491
247,3499
248,3511
249,3527
250,3539
251,3547
252,3559
253,3571
254,3583
255,3607
256,3623
257,3631
258,3643
259,3659
260,3671
261,3691
262,3719
263,3727
264,3739
265,3767
266,3779
267,3803
268,3823
269,3847
270,3851
271,3863
272,3907
273,3911
274,3919
275,3923
276,3931
277,3943
278,3947
279,3967
280,4003
281,4007
282,4019
283,4027
284,4051
285,4079
286,4091
287,4099
288,4111
289,4127
290,4139
291,4159
292,4211
293,4219
294,4231
295,4243
296,4259
297,4271
298,4283
299,4327
300,4339
301,4363
302,4391
303,4423
304,4447
305,4451
306,4463
307,4483
308,4507
309,4519
310,4523
311,4547
312,4567
313,4583
314,4591
315,4603
316,4639
317,4643
318,4651
319,4663
320,4679
321,4691
322,4703
323,4723
324,4751
325,4759
326,4783
327,4787
328,4799
329,4831
330,4871
331,4903
332,4919
333,4931
334,4943
335,4951
336,4967
337,4987
338,4999
339,5003
340,5011
341,5023
342,5039
343,5051
344,5059
345,5087
346,5099
347,5107
348,5119
349,5147
350,5167
351,5171
352,5179
353,5227
354,5231
355,5279
356,5303
357,5323
358,5347
359,5351
360,5387
361,5399
362,5407
363,5419
364,5431
365,5443
366,5471
367,5479
368,5483
369,5503
370,5507
371,5519
372,5527
373,5531
374,5563
375,5591
376,5623
377,5639
378,5647
379,5651
380,5659
381,5683
382,5711
383,5743
384,5779
385,5783
386,5791
387,5807
388,5827
389,5839
390,5843
391,5851
392,5867
393,5879
394,5903
395,5923
396,5927
397,5939
398,5987
399,6007
400,6011
401,6043
402,6047
403,6067
404,6079
405,6091
406,6131
407,6143
408,6151
409,6163
410,6199
411,6203
412,6211
413,6247
414,6263
415,6271
416,6287
417,6299
418,6311
419,6323
420,6343
421,6359
422,6367
423,6379
424,6427
425,6451
426,6491
427,6547
428,6551
429,6563
430,6571
431,6599
432,6607
433,6619
434,6659
435,6679
436,6691
437,6703
438,6719
439,6763
440,6779
441,6791
442,6803
443,6823
444,6827
445,6863
446,6871
447,6883
448,6899
449,6907
450,6911
451,6947
452,6959
453,6967
454,6971
455,6983
456,6991
457,7019
458,7027
459,7039
460,7043
461,7079
462,7103
463,7127
464,7151
465,7159
466,7187
467,7207
468,7211
469,7219
470,7243
471,7247
472,7283
473,7307
474,7331
475,7351
476,7411
477,7451
478,7459
479,7487
480,7499
481,7507
482,7523
483,7547
484,7559
485,7583
486,7591
487,7603
488,7607
489,7639
490,7643
491,7687
492,7691
493,7699
494,7703
495,7723
496,7727
497,7759
498,7823
499,7867
500,7879
501,7883
502,7907
503,7919
504,7927
505,7951
506,7963
507,8011
508,8039
509,8059
510,8087
511,8111
512,8123
513,8147
514,8167
